********************************************************************************
Field Output Report, written Tue May 12 11:38:49 2026

Source 1
---------

   ODB: C:/Temp/ABAQUS/Enrico_test_flow/Flow_in_pipe.odb
   Step: Heat_transfer_step
   Frame: Increment      1: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PIPE-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label        HFL.HFL1        HFL.HFL2        HFL.HFL3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
             158     999.518E-03     232.518E-03    -22.5619E-03
             159         1.00020     258.236E-03     6.09704E-03
             160     999.882E-03     275.954E-03     38.7026E-03
             161     999.929E-03     282.653E-03     72.1657E-03
             162     998.558E-03     278.147E-03     99.8639E-03
             163         1.00013     264.956E-03     113.582E-03
             164     992.109E-03     230.593E-03     115.615E-03
             165     986.541E-03     185.505E-03    -36.9944E-03
             166     992.312E-03     200.037E-03    -89.6748E-03
             167     998.608E-03     216.918E-03    -124.205E-03
             168     997.876E-03     243.314E-03    -127.801E-03
             169         1.00030     262.695E-03    -111.203E-03
             170     999.700E-03     276.301E-03    -78.2184E-03
             171         1.00121     269.409E-03    -42.2395E-03
             172     999.693E-03     253.240E-03    -5.70440E-03
             173     999.611E-03     227.833E-03     25.3380E-03
             174     999.263E-03     195.550E-03     48.7483E-03
             175     998.955E-03     160.430E-03     61.3755E-03
             176     998.199E-03     101.847E-03     54.0169E-03
             177         1.00014     86.8031E-03     39.1274E-03
             178     998.260E-03     66.4146E-03     22.2882E-03
             179     998.990E-03     59.2344E-03    -5.85419E-03
             180     997.837E-03     64.4545E-03    -34.8975E-03
             181     997.664E-03     84.3647E-03    -51.6251E-03
             182     999.604E-03     111.353E-03    -61.9201E-03
             183     999.876E-03     143.777E-03    -63.8967E-03
             184     999.161E-03     177.827E-03    -56.2257E-03
             185     999.129E-03     212.121E-03    -37.9810E-03
             186         1.00006     242.302E-03    -10.3992E-03
             187     999.623E-03     263.190E-03     23.5929E-03
             188         1.00026     274.885E-03     61.0672E-03
             189     999.410E-03     271.711E-03     95.3021E-03
             190         1.00012     257.200E-03     120.155E-03
             191     996.958E-03     227.784E-03     129.345E-03
             192     998.499E-03     224.425E-03     102.617E-03
             193         1.00348     200.620E-03     65.9807E-03
             194     988.178E-03     175.623E-03    -1.28524E-03
             195     999.870E-03     119.021E-03    -39.1096E-03
             196         1.00020     198.717E-03    -41.8133E-03
             197     998.090E-03     287.371E-03    -84.2796E-03
             198         1.00010     103.992E-03    -26.0484E-03
             199     999.555E-03     284.515E-03    -70.2857E-03
             200         1.00046     256.367E-03    -6.05545E-03
             201         1.00002     141.730E-03    -47.1294E-03
